device_model,release_date
CPH2185,2020-10-22
SM-N971N,2019-08-29
RNE-L22,2017-12-08
SM-A235F,2022-03-01
SCV38,2018-05-01
MEIZU M6,
SM-S901E,2022-02-26
POCO F1,2018-08-27
Lenovo L70081,
MI 5,2017-12-12
ASUS_X018D,
JSN-L22,2020-06-01
ASUS_Z01BDB,
M2004J19C,2020-06-29
CPH1907,2019-09-21
RMX3191,
vivo 1817,
Mi 10,2022-05-01
Infinix X627,
RMX1801,2018-10-11
LUNA G60,
SM-T725,2019-04-01
SM-A705YN,2019-05-01
CPH1911,2019-04-01
M2003J15SC,2020-05-27
CPH2251,
RMX2030,2020-05-04
V2149,2022-01-01
CPH1725,2017-11-26
6003,2018-05-22
vivo 2007,
Mi A2 Lite,2018-07-27
iPhone SE,2016-03-31
V2205,
ASUS_Z00UDH,
Infinix X662,
V2146,2022-01-01
SM-A507FN,2019-09-01
Redmi Note 7,2019-05-23
SM-M315F,2020-10-01
V2029,
SM-A037F,2021-08-17
vivo 1716,
SM-M205G,2019-02-01
SM-A910F,2016-07-14
Redmi S2,2018-06-24
vivo 1609,
SAMSUNG-SM-G925A,
V2151,
iPhone 11 Pro Max,2019-09-21
V2110,2021-10-01
RMX2086,2020-06-03
ASUS_X00TD,
CPH2269,2021-07-01
RMX2103,2020-10-16
SM-G610F,2017-04-01
SM-M325FV,2021-06-01
M2010J19SG,2021-02-01
POCOPHONE F1,
CPH1727,2017-11-08
Infinix X626B LTE,
"iPad13,6",2021-05-21
SM-G9500,2017-06-07
Mi A2,2018-07-27
SM-A217F,2020-06-02
CPH2127,2020-09-01
SM-A920F,2018-11-16
SM-T875,2021-04-01
SM-M515F,2020-09-08
INE-LX2,2018-07-26
LM-Q920N,
M2102K1G,2021-04-01
iPhone XS,2018-11-01
RMX1931,2019-12-12
vivo 1727,
MAR-LX2,2019-05-01
M2007J3SG,2020-10-01
RMX2002,2020-06-16
I4293,2019-02-28
MI 8 Lite,2018-11-01
Nokia 5.1 Plus,
CPH2333,2022-04-01
Redmi Note 5A,2017-08-01
702SO,2018-05-29
Infinix X656,
SM-A127F,2021-08-01
iPhone 12,2020-10-23
M2101K6G,2021-03-08
V2131,2021-11-07
V2108,
CPH1923,2019-04-23
Infinix X670,
OPPO A57,
V2022,
Redmi 5 Plus,2017-12-12
CPH2343,2022-06-04
CPH2083,2020-06-22
RMX1805,
CPH1859,2018-06-28
CPH2109,2020-08-01
SOV40,2019-06-14
SM-J701F,2017-12-21
V2006,
Pixel 2,
SM-A300H,2015-01-28
PAR-TL20,2018-07-19
RMX1831,
iPad 5,2022-10-26
vivo 1816,
RMX3171,
SM-J600G,2018-10-01
2201116SG,2022-02-19
CPH1955,2019-07-23
V2058,2021-06-12
LM-F100,
SM-M115F,2020-06-01
Nokia 5.3,
OPPO F1S,
Infinix X652A,
SO-04J,2017-06-16
CPH1871,2018-09-08
X9009,2016-04-01
POCO F2 Pro,2020-05-19
vivo 1804,
SH-03J,2017-07-07
CPH2365,2022-01-17
vivo 1606,
RMX3370,2021-09-01
Infinix X653C,
SM-N9860,2020-08-01
SC-02H,2016-05-19
M2010J19CG,2020-11-27
M2007J3SY,2020-10-01
SM-G960F,2018-05-02
"iPad11,6",2022-09-18
RMX3501,
SM-G570Y,2016-11-14
CPH1877,2018-11-16
Infinix X6817,
Mi 9T,2021-02-01
2201117PG,2022-03-01
SM-A536E,2022-04-02
vivo 1915,
SKW-H0,2019-03-01
SM-M105G,2019-02-04
Redmi Note 8,2021-06-01
SM-A525F,2021-04-01
SM-A107F,2019-09-13
CPH2247,2021-09-08
SM-G996B,2021-01-29
Z999,2018-03-01
SM-J700F,2015-07-16
Infinix X6810,
SM-A500F,2015-01-28
VOG-L29,2020-06-03
vivo 1935,
Infinix X650C,
TECNO KE5,
vivo 1610,
"iPhone14,3",2022-09-07
SM-J810Y,
CPH2217,2021-03-17
SM-N985F,2020-08-21
vivo 1820,
SM-A307GN,2019-09-01
vivo 1910,
RMX3371,
ASUS_Z012DB,
ANA-NX9,2020-04-07
ASUS_I005DA,
SM-G965U,2018-05-18
HD1900,2019-09-29
RMX1941,2019-05-16
2107113SG,2021-10-06
SM-T715Y,2015-09-01
RMX3063,2021-04-09
ASUS_X01BDA,
SM-A736B,2022-04-01
SM-G980F,2020-03-06
SM-F7110,2022-09-01
vivo 1612,
RMX3491,2022-02-01
Redmi 8A,2020-02-18
SM-A035F,2022-03-01
CPH2363,2022-04-01
RMX3393,2022-04-01
LLD-L21,
SM-G930F,2016-03-18
RMX3521,2022-04-01
Lenovo K520,
Armor 10 5G,
SH-R10A,
